SHEET,PARAMETERS,Symbol parameters description in expression view & customizer GUI
WD_PTR2SNS_CP,The pointer to the array with the electrode capacitance value in pF.,FLASH
WD_PTR2NOISE_ENVLP,"The pointer to the array with the sensor noise envelope data.
Set to the valid value only for the CSD widgets.
For the CSX widgets, this pointer is set to NULL.
The pointed array is not part of the data structure.",FLASH
WD_PTR2DIPLEX_TABLE,The pointer to the Flash Diplex table that is used by the 
slider centroid algorithm.,FLASH
WD_PTR2CSX_TOUCHPAD,The pointer to the CSX Touchpad internal data structure.,FLASH
WD_PTR2POS_HISTORY,The pointer to the RAM position history object. This 
parameter is used for the Sliders and CSD touchpads that have enabled the 
median position filter.,FLASH
WD_IIR_FILTER_COEFF,The position IIR filter coefficient.,
WD_PTR2MPTX_TABLE,The pointer to the uint16 flash array with deconvolution 
coefficients.,FLASH
WD_MPTX_SIGN,"The multiphase sign vector. 
The bitmask where 0 corresponds to a positive sign and 1 to a negative sign.",FLASH
SNS_FIRST_PIN_ID,The index of the first IO in the Flash IO Object Array.,FLASH
SNS_NUM_PINS,The total number of IOs in this sensor.,FLASH
SNS_TYPE,"The sensor type: 
ELTD_TYPE_SELF_E - CSD sensor;
ELTD_TYPE_MUT_TX_E - CSX Tx sensor;
ELTD_TYPE_MUT_RX_E - CSX Rx sensor;",FLASH
,,
SHEET,REGRAM,RAM Data Structure register descriptions
CONFIG_ID,"16-bit CRC calculated by the customizer for the component 
configuration. 
Used by the Tuner application to identify if the FW corresponds to the 
specific user configuration.",RAM
DEVICE_ID,Used by the Tuner application to identify device-specific configuration.,RAM
HW_CLOCK,Used by the Tuner application to identify the system clock frequency.,RAM
TUNER_CMD,"Tuner Command Register. 
Used for the communication between the Tuner GUI and the component.",RAM
CMD,Contains the tuner command code.,RAM
COMPLETE,Contains the command complete bit,RAM
SCAN_COUNTER,This counter gets incremented after each scan.,RAM
STATUS,"Status information: Current Widget, Scan active, Error code.",RAM
STATUS_WDGT0,The widget currently selected for CSD0,RAM
STATUS_CSD0,The CSD0 block status,RAM
STATUS_WDGT1,The widget currently selected for CSD1,RAM
STATUS_CSD1,The CSD1 block status,RAM
STATUS_WDGT0_BUSY,The WIDGET BUSY flag status for CSD0,RAM
STATUS_WDGT1_BUSY,The WIDGET BUSY flag status for CSD1,RAM
STATUS_ERR,CapSense component error code,RAM
WDGT_ENABLE,"The bitmask that sets which Widgets are enabled and scanned, 
each bit corresponds to one widget.",RAM
WDGT_WORKING,"The bitmask that reports the self-test status of all Widgets, 
each bit corresponds to one widget.",RAM
WDGT_STATUS,"The bitmask that reports activated Widgets (widgets that detect 
a touch signal above the threshold), each bit corresponds to one widget.",RAM
SNS_STATUS,"For Buttons, Sliders, Matrix Buttons and CSD Touchpad each bit 
reports status of the individual sensor of the widget:
1 - active (above the finger threshold);
0 - inactive;
For the CSD Touchpad and CSD Matrix Buttons, the column sensors occupy the 
least significant bits.
For the Proximity widget, each sensor uses two bits with the following meaning:
00 - Not active;
01 - Proximity detected (signal above finger threshold);
11 - A finger touch detected (signal above the touch threshold);
For the CSX Touchpad Widget, this register provides a number of the detected 
touches. The array size is equal to the total number of widgets. The size of the array 
element depends on the max number of sensors per widget used in the current design. 
It could be 1, 2 or 4 bytes.",RAM
ADC_RESULT,"Stores the latest ADC result for the channel.
The array size is equal to the number of ADC channels used in the project.",RAM
ADC_CODE,"Stores the latest ADC conversion result for the channel.",RAM
ADC_STATUS,Stores the status of ADC.,RAM
CSD0_CONFIG,The configuration register for global parameters of the CSD0 block.,RAM
CSD1_CONFIG,The configuration register for global parameters of the CSD1 block.,RAM
MULTI_FREQ_EN,"The multi-frequency scan enable/disable at runtime. This bit is functional
only if the multi-frequency scan functionality has been activated
in general component configuration.",RAM
SNS_ARST,The sensor auto-reset is enabled,RAM
IDAC_RANGE,The IDAC range setting (4x/8x),RAM
SHLD_EN,The shield electrode signal Enable/Disable,RAM
SHLD_DLY,Selects the delay by which the csd_shield is delayed relative to csd_sense,RAM
MOD_CSD_CLK,The modulator clock divider for the CSD widgets.,RAM
MOD_CSX_CLK,The modulator clock divider for the CSX widgets.,RAM
SNS_CSD_CLK,The global sense clock divider for the CSD widgets.,RAM
SNS_CSX_CLK,Global sense clock divider for the CSX widgets.,RAM
ADC_RESOLUTION,Stores the ADC resolution.,RAM
ADC_IDAC,ADC IDAC,RAM
ADC_ACTIVE_CH,The last scanned ADC channel.,
ADC_AZTIME,Stores the AZ time used for ADC conversion.,RAM
GLB_CRC,CRC for global data.,RAM
RAM_WD_LIST_STRUCT,RAM Widget Objects.,RAM
RAM_SNS_LIST_STRUCT,RAM Sensor Objects.,
TMG_CONFIG_STRUCT,The configuration data for gestures detection.,
TMG_BALLISTIC_MULT,The configuration data for position ballistic filter.,
TIMESTAMP_INTERVAL,The timestamp interval used at increasing the timestamp.,
TIMESTAMP,The current timestamp.,
WD_CRC,CRC for the whole Widget Object in RAM (not only the common part),RAM
WD_RESOLUTION,"Provides scan resolution for the CSD Widgets.
Provides number of the sub-conversions for the CSX Widgets.",RAM
WD_BSLN_COEFF,The widget baseline filter coefficient N (for IIR 2 to 8) or 
Baseline update threshold (for bucket method 1 to 255).,RAM
WD_FINGER_TH,Widget Finger Threshold.,RAM
WD_NOISE_TH,Widget Noise Threshold.,RAM
WD_NNOISE_TH,Widget Negative Noise Threshold.,RAM
WD_HYSTERESIS,Widget Hysteresis for the signal crossing finger threshold.,RAM
WD_ON_DEBOUNCE,Widget Debounce for the signal above the finger threshold. OFF to ON.,RAM
WD_LOW_BSLN_RST,"The widget low baseline reset count.
Specifies the number of samples the sensor signal must be below the Negative 
Noise Threshold to trigger a baseline reset.",RAM
WD_POS_BSLN_RST,"Sensor auto reset count. 
Specifies the number of samples the sensor signal must be higher than the Noise 
Threshold to trigger a baseline reset.",RAM
WD_BSLN_COEFF,The widget baseline filter coefficient N (for IIR 2 to 8) or 
baseline update threshold (for bucket method 1 to 255),RAM
WD_IDAC_MOD,"Sets the current of the modulation IDAC for the CSD widgets. 
For the CSD Touchpad and Matrix Button widgets sets the current of the 
modulation IDAC for the column sensors.
Not used for the CSX widgets.",RAM
WD_ROW_IDAC_MOD,"Sets the current of the modulation IDAC for the row sensors 
for the CSD Touchpad and Matrix Button widgets.
Not used for the CSX widgets.",RAM
WD_SNS_CLK,"Specifies the sense clock divider. Present only if individual clock 
dividers are enabled.
Specifies the sense clock divider for the Column sensors for the Matrix Buttons
and Touchpad widgets.
Sets Tx clock divider for the CSX Widgets.",RAM
WD_SNS_CLK_SOURCE,Register for internal use,RAM
WD_ROW_SNS_CLK,"For the Matrix Buttons and Touchpad widgets specifies the sense 
clock divider for the row sensors.
Present only if individual clock dividers are enabled.",RAM
WD_ROW_SNS_CLK_SOURCE,Register for internal use,RAM
WD_FINGER_CAP,"Widget Finger capacitance parameter. Available only if the 
SmartSense is enabled.
Not used for the CSX Widgets.",RAM
WD_SIGPFC,The 75% of signal per user-defined finger capacitance,RAM
WD_OFF_DEBOUNCE,The Widget Debounce for a lift-off event. ON to OFF.,RAM
WD_GESTURE_ID,Keeps either current gesture detection status or detected gesture code.,RAM
WD_SCROLL_CNT,The scroll count of the last detected scroll gesture.,RAM
WD_SNS_CP,The sensor capacitance,RAM
WD_POSITION,Reports the widget position.,RAM
WD_POS_COL,The active column sensor. From 0 to ColNumber - 1.,RAM
WD_POS_ROW,The active row sensor. From 0 to RowNumber - 1.,RAM
WD_POS_SNS_ID,"The active button ID. 
From 0 to RowNumber*ColNumber - 1.",RAM
WD_POS_X,The X coordinate.,RAM
WD_POS_Y,The Y coordinate.,RAM
WD_ADV_POSITION,The touch information about detected fingers.,
WD_POS_X_DELTA,The filtered by Ballistic Multiplier X-displacement between 
current and previous touch.,
WD_POS_Y_DELTA,The filtered by Ballistic Multiplier Y-displacement between 
current and previous touch.,
WD_EDGE_VIRTUAL_SENSOR_TH,The virtual sensor parameter that defines its 
signal calculation.,
WD_EDGE_PENULTIMATE_TH,The threshold for determining when virtual sensor 
signal is calculated.,
WD_CROSS_COUPLING_POS_TH,The sensors cross coupling threshold,
WD_AIIR_CONFIG,Keeps the configuration of position adaptive filter.,
WD_PROX_TOUCH_TH,The proximity touch threshold.,RAM
WD_VELOCITY,"The square of the ""speed"" (maximum distance change per refresh interval) threshold
distinguishing a fast finger movement from separate finger touches (in [pixels/refresh interval]).
Squared speeds exceeding this value indicate separate finger touches.
Squared speeds below this value indicate fast single finger movement.",RAM
WD_TOUCH,The touch information about detected fingers.,RAM
WD_TOUCH_X,Stores the X position of a reported touch.,RAM
WD_TOUCH_Y,Stores the Y position of a reported touch.,RAM
WD_TOUCH_Z,Stores the Z value of a reported touch.,RAM
WD_TOUCH_ID,Stores the id value of a reported touch.,RAM
WD_PROX_TOUCH_TH,The proximity touch threshold.,RAM
SNS_RAW,The sensor raw counts.,RAM
SNS_BSLN,The sensor baseline.,RAM
SNS_BSLN_INV,The bit inverted baseline,RAM
SNS_BSLN_EXT,"For the bucket baseline algorithm holds the bucket state,
For the IIR baseline keeps LSB of the baseline value.",RAM
SNS_DIFF,Sensor differences.,RAM
SNS_IDAC_COMP,"CSD Widgets: The compensation IDAC value.
CSX Widgets: The balancing IDAC value.",RAM
SNS_NEG_BSLN_RST_CNT,The baseline reset counter for the low baseline reset function.,RAM
SNS_POS_BLSN_RST_CNT,The baseline reset counter for the sensor auto reset function.,RAM
RAM_SELF_TEST_STRUCT,The self-test data structure.,RAM
RAM_SNS_CP_STRUCT,The sensor Cp Measurement data structures.,RAM
TEST_RESULT_MASK,Bit mask of test results (PASS/FAIL),RAM
EXT_CAP,The capacitance of an external capacitor,RAM
INT_CAP,The capacitance of an internal capacitor,RAM
VDDA_VOLTAGE,The result of Vdda measurement (mV),RAM
SHIELD_CAP,The shield capacitance,RAM
GLB_CRC_CALC,A calculated CRC for global Component Data,RAM
WDGT_CRC_CALC,The widget data structure calculated CRC if the correspondent test result bit is set,RAM
WDGT_CRC_ID,The global data structure calculated CRC if the correspondent test result bit is set,RAM
INV_BSLN_WDGT_ID,The first widget ID with mismatched baseline,RAM
INV_BSLN_SNS_ID,The first sensor ID with mismatched baseline,RAM
SHORTED_WDGT_ID,The first shorted to GND/VDDA widget ID,RAM
SHORTED_SNS_ID,The first shorted to GND/VDDA sensor ID,RAM
P2P_WDGT_ID,The first widget ID with a sensor shorted to another sensor,RAM
P2P_SNS_ID,The first sensor ID shorted to another sensor,RAM
SNR_TEST_WIDGET_ID,The selected widget ID.,RAM
SNR_TEST_SENSOR_ID,The selected sensor ID.,RAM
SNR_TEST_SCAN_COUNTER,The scan counter.,RAM
SNR_TEST_RAW_COUNT,The sensor raw counts.,RAM
CUSTOM_DATA,The custom data buffer reserved for the application purpose.,RAM
